 trade_date |   symbol   | market_cap_category | mtf_amount_cr | avg_mtf_cr | stddev_mtf_cr | z_score |       shocker_type        | deviation_from_avg_cr 
 2025-12-17 | LICI       | Large-High          |        310.58 |     307.69 |          2.12 |    1.36 | Moderate Positive Shocker |                  2.89
 2025-12-17 | GAIL       | Large-High          |        294.71 |     289.10 |          4.14 |    1.36 | Moderate Positive Shocker |                  5.61
 2025-12-17 | SBICARD    | Large-Low           |         62.78 |      59.69 |          1.75 |    1.77 | Moderate Positive Shocker |                  3.09
 2025-12-17 | RECLTD     | Large-Low           |        860.56 |     832.50 |         16.08 |    1.74 | Moderate Positive Shocker |                 28.06
 2025-12-17 | MANKIND    | Large-Low           |        100.03 |      94.78 |          3.38 |    1.55 | Moderate Positive Shocker |                  5.25
 2025-12-17 | POLICYBZR  | Large-Low           |         50.51 |      42.84 |          5.07 |    1.51 | Moderate Positive Shocker |                  7.67
 2025-12-17 | ZYDUSLIFE  | Large-Low           |         95.30 |      91.58 |          3.00 |    1.24 | Moderate Positive Shocker |                  3.72
 2025-12-17 | ABCAPITAL  | Large-Low           |         88.70 |      79.68 |          7.27 |    1.24 | Moderate Positive Shocker |                  9.02
 2025-12-17 | LTF        | Large-Low           |        111.26 |     107.11 |          3.56 |    1.17 | Moderate Positive Shocker |                  4.15
 2025-12-17 | DIXON      | Large-Low           |        713.92 |     695.70 |         16.02 |    1.14 | Moderate Positive Shocker |                 18.22
 2025-12-17 | MARICO     | Large-Low           |         23.36 |      22.74 |          0.59 |    1.05 | Moderate Positive Shocker |                  0.62
 2025-12-17 | UTISENSETF | Mid-High            |          0.15 |       0.12 |          0.01 |    2.67 | High Positive Shocker     |                  0.03
 2025-12-17 | SCHAEFFLER | Mid-High            |         28.87 |      28.49 |          0.25 |    1.52 | Moderate Positive Shocker |                  0.38
 2025-12-17 | JSWINFRA   | Mid-High            |        146.45 |     144.97 |          1.04 |    1.42 | Moderate Positive Shocker |                  1.48
 2025-12-17 | LAURUSLABS | Mid-High            |        382.31 |     368.43 |         10.17 |    1.36 | Moderate Positive Shocker |                 13.88
 2025-12-17 | MOTILALOFS | Mid-High            |        158.24 |     152.62 |          4.37 |    1.29 | Moderate Positive Shocker |                  5.62
 2025-12-17 | INDUSINDBK | Mid-High            |        251.87 |     247.23 |          3.62 |    1.28 | Moderate Positive Shocker |                  4.64
 2025-12-17 | SAIL       | Mid-High            |        347.28 |     339.60 |          6.05 |    1.27 | Moderate Positive Shocker |                  7.68
 2025-12-17 | LINDEINDIA | Mid-High            |         95.82 |      99.20 |          2.93 |   -1.15 | Moderate Negative Shocker |                 -3.38
 2025-12-17 | NIFTYBEES  | Mid-High            |        169.30 |     159.78 |          8.80 |    1.08 | Moderate Positive Shocker |                  9.52
 2025-12-17 | GICRE      | Mid-High            |         84.94 |      83.95 |          0.92 |    1.08 | Moderate Positive Shocker |                  0.99
 2025-12-17 | METROBRAND | Mid-Low             |          7.58 |       7.12 |          0.23 |    1.99 | Moderate Positive Shocker |                  0.46
 2025-12-17 | GODREJIND  | Mid-Low             |         22.69 |      22.03 |          0.34 |    1.93 | Moderate Positive Shocker |                  0.66
 2025-12-17 | GODIGIT    | Mid-Low             |          6.73 |       6.89 |          0.09 |   -1.74 | Moderate Negative Shocker |                 -0.16
 2025-12-17 | HINDCOPPER | Mid-Low             |        446.21 |     416.60 |         19.02 |    1.56 | Moderate Positive Shocker |                 29.61
 2025-12-17 | PIIND      | Mid-Low             |         68.23 |      65.21 |          2.11 |    1.43 | Moderate Positive Shocker |                  3.02
 2025-12-17 | BALKRISIND | Mid-Low             |         32.92 |      34.38 |          1.08 |   -1.35 | Moderate Negative Shocker |                 -1.46
 2025-12-17 | PAGEIND    | Mid-Low             |         73.14 |      71.76 |          1.04 |    1.33 | Moderate Positive Shocker |                  1.38
 2025-12-17 | NIFTYIETF  | Mid-Low             |         13.74 |      12.59 |          0.87 |    1.32 | Moderate Positive Shocker |                  1.15
 2025-12-17 | HEXT       | Mid-Low             |         13.01 |      14.32 |          1.00 |   -1.31 | Moderate Negative Shocker |                 -1.31
 2025-12-17 | AWL        | Mid-Low             |        102.61 |     101.38 |          0.94 |    1.31 | Moderate Positive Shocker |                  1.23
 2025-12-17 | IGL        | Small-High          |         62.25 |      58.52 |          1.58 |    2.36 | High Positive Shocker     |                  3.73
 2025-12-17 | DEVYANI    | Small-High          |        180.11 |     177.58 |          1.10 |    2.30 | High Positive Shocker     |                  2.53
 2025-12-17 | BLUEDART   | Small-High          |         56.44 |      55.29 |          0.60 |    1.92 | Moderate Positive Shocker |                  1.15
 2025-12-17 | SBFC       | Small-High          |         46.25 |      44.85 |          0.74 |    1.89 | Moderate Positive Shocker |                  1.40
 2025-12-17 | NEULANDLAB | Small-High          |         83.45 |      78.79 |          2.58 |    1.80 | Moderate Positive Shocker |                  4.66
 2025-12-17 | MGL        | Small-High          |        105.75 |     104.08 |          0.94 |    1.77 | Moderate Positive Shocker |                  1.67
 2025-12-17 | INDIACEM   | Small-High          |         17.55 |      15.85 |          1.03 |    1.65 | Moderate Positive Shocker |                  1.70
 2025-12-17 | AKZOINDIA  | Small-High          |        142.57 |      48.41 |         60.21 |    1.56 | Moderate Positive Shocker |                 94.16
 2025-12-17 | SANDUMA    | Small-High          |         73.60 |      70.40 |          2.10 |    1.53 | Moderate Positive Shocker |                  3.20
 2025-12-17 | PSB        | Small-High          |         30.16 |      30.76 |          0.40 |   -1.49 | Moderate Negative Shocker |                 -0.60
 2025-12-17 | AHLUCONT   | Small-Low           |         26.92 |      25.73 |          0.54 |    2.21 | High Positive Shocker     |                  1.19
 2025-12-17 | HGINFRA    | Small-Low           |         50.83 |      49.97 |          0.43 |    1.99 | Moderate Positive Shocker |                  0.86
 2025-12-17 | PRAJIND    | Small-Low           |        209.46 |     206.35 |          1.60 |    1.94 | Moderate Positive Shocker |                  3.11
 2025-12-17 | ALOKINDS   | Small-Low           |         29.47 |      29.13 |          0.20 |    1.70 | Moderate Positive Shocker |                  0.34
 2025-12-17 | GOKEX      | Small-Low           |        128.76 |     125.86 |          1.75 |    1.66 | Moderate Positive Shocker |                  2.90
 2025-12-17 | IFBIND     | Small-Low           |         47.65 |      47.46 |          0.12 |    1.54 | Moderate Positive Shocker |                  0.19
 2025-12-17 | ASHAPURMIN | Small-Low           |         82.73 |      75.34 |          5.11 |    1.45 | Moderate Positive Shocker |                  7.39
 2025-12-17 | MHRIL      | Small-Low           |         11.23 |      11.00 |          0.16 |    1.44 | Moderate Positive Shocker |                  0.23
 2025-12-17 | TIPSMUSIC  | Small-Low           |         36.42 |      37.03 |          0.43 |   -1.43 | Moderate Negative Shocker |                 -0.61
 2025-12-17 | SCI        | Small-Low           |        198.41 |     194.00 |          3.13 |    1.41 | Moderate Positive Shocker |                  4.41
 2025-12-17 | MOTOUR     | Micro-Low           |          0.03 |       0.00 |          0.01 |    3.04 | High Positive Shocker     |                  0.03
