sebi_report_as_on_reporting_date_06oct2025,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6
OLECTRA,OLECTRA GREENTECH LIMITED,2009442.00,30631.04,,,
HINDALCO,HINDALCO  INDUSTRIES  LTD,1379962.00,9668.30,,,
TRITURBINE,TRIVENI TURBINE LIMITED,1089811.00,6512.94,,,
SANSTAR,SANSTAR LIMITED,1122109.00,1145.59,,,
SUPRAJIT,SUPRAJIT ENGINEERING LIMI,261837.00,1252.35,,,
POLICYBZR,PB FINTECH LIMITED,406977.00,7340.27,,,
RAMKY,RAMKY INFRA LTD,1281942.00,7337.58,,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1364708.00,3371.42,,,
BELRISE,BELRISE INDUSTRIES LTD,14379383.00,20940.99,,,
ACC,ACC LIMITED,790326.00,15232.78,,,
ESCORTS,ESCORTS KUBOTA LIMITED,234796.00,8535.25,,,
RENUKA,SHREE RENUKA SUGARS LIMIT,21523477.00,7781.19,,,
LLOYDSME,LLOYDS METALS N ENERGY L,1366560.00,17888.82,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,830835.00,13599.26,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5458955.00,5383.21,,,
WAAREERTL,WAAREE RENEWABLE TECH LTD,490486.00,5418.86,,,
DLINKINDIA,D-LINK INDIA LTD,402062.00,2006.20,,,
THYROCARE,THYROCARE TECH LTD,47849.00,600.64,,,
PAISALO,PAISALO DIGITAL LIMITED,12515628.00,4797.78,,,
PRAKASH,PRAKASH INDUSTRIES LTD,3245889.00,5372.86,,,
GLENMARK,GLENMARK PHARMACEUTICALS,295574.00,5975.05,,,
HYUNDAI,HYUNDAI MOTOR INDIA LTD,385878.00,10012.81,,,
JBMA,JBM AUTO LIMITED,2462154.00,17190.66,,,
JINDALSTEL,JINDAL STEEL LIMITED,347163.00,3490.04,,,
SURYODAY,SURYODAY SMALL FIN BK LTD,582905.00,824.56,,,
COROMANDEL,COROMANDEL INTERNTL. LTD,186910.00,4451.08,,,
GEOJITFSL,GEOJIT FINANCIAL SER L,1599793.00,1352.24,,,
ALEMBICLTD,ALEMBIC LIMITED,2525291.00,3055.14,,,
SIGACHI,SIGACHI INDUSTRIES LTD,9156816.00,4002.66,,,
BLACKBUCK,BLACKBUCK LIMITED,1405063.00,8241.17,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,23320575.00,4368.67,,,
SBC,SBC EXPORTS LIMITED,27380608.00,4630.08,,,
BLUEJET,BLUE JET HEALTHCARE LTD,2544086.00,19033.03,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1367032.00,6159.67,,,
PGEL,PG ELECTROPLAST LTD,4079823.00,22644.24,,,
MFSL,MAX FINANCIAL SERV LTD,72394.00,1125.84,,,
TATSILV,TATAAML-TATSILV,8460523.00,1164.11,,,
WHEELS,WHEELS INDIA LTD,80200.00,653.67,,,
RHIM,RHI MAGNESITA INDIA LTD,949774.00,4779.48,,,
SANGHVIMOV,SANGHVI MOVERS LTD,1245080.00,4161.86,,,
MMTC,MMTC LIMITED,2318861.00,1679.68,,,
AVANTIFEED,AVANTI FEEDS LIMITED,1191660.00,8881.76,,,
PREMEXPLN,PREMIER EXPLOSIVES LTD,888741.00,5220.22,,,
RPEL,RAGHAV PRODUCTIVITY ENH L,86138.00,560.33,,,
EMAMILTD,EMAMI LIMITED,632093.00,3803.99,,,
DALMIASUG,DALMIA BHARAT SUG IN LTD,278002.00,1095.20,,,
CONFIPET,CONFIDENCE PETRO IND LTD.,3482075.00,2187.67,,,
SBICARD,SBI CARDS & PAY SER LTD,644486.00,5818.26,,,
EICHERMOT,EICHER MOTORS LTD,88557.00,5768.11,,,
ASTRAZEN,ASTRAZENECA PHARMA IND LT,28234.00,2294.24,,,
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,124104.00,1636.19,,,
DOLLAR,DOLLAR INDUSTRIES LIMITED,176928.00,710.23,,,
JTEKTINDIA,JTEKT INDIA LIMITED,494297.00,872.06,,,
VOLTAMP,VOLTAMP TRANSFORMERS LTD,122856.00,10172.12,,,
KSCL,KAVERI SEED COMPANY LIMIT,353899.00,4236.24,,,
BAYERCROP,BAYER CROPSCIENCE LTD,67487.00,3614.77,,,
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,898720.00,7970.33,,,
SPIC,SPIC LTD,3050945.00,3152.47,,,
DATAMATICS,DATAMATICS GLOBAL SER LTD,375789.00,3248.43,,,
ZUARI,ZUARI AGRO CHEMICALS LTD,469276.00,1314.56,,,
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,487973.00,2616.36,,,
VIMTALABS,VIMTA LABS LIMITED,402216.00,3002.17,,,
HUHTAMAKI,HUHTAMAKI INDIA LIMITED,1144495.00,3976.66,,,
AUTOIND,AUTOLINE INDUSTRIES LTD,55199.00,45.30,,,
LUMAXTECH,LUMAX AUTO TECH LTD,179411.00,1871.43,,,
LALPATHLAB,DR. LAL PATH LABS LTD.,73582.00,2383.03,,,
NAZARA,NAZARA TECHNOLOGIES LTD,30998212.00,88763.74,,,
SCILAL,SHIPPING CORP OF ILA LTD,2006258.00,1092.89,,,
MANALIPETC,MANALI PETROCHEMICALS LT,724174.00,555.66,,,
TVSHLTD,TVS HOLDINGS LIMITED,15358.00,1849.16,,,
TEXINFRA,TEXMACO INFRA & HOLDG LTD,706714.00,827.53,,,
PAGEIND,PAGE INDUSTRIES LIMITED,9636.00,4287.88,,,
SHALBY,SHALBY LIMITED,811208.00,1940.39,,,
VENUSPIPES,VENUS PIPES & TUBES LTD,314708.00,4454.25,,,
RPTECH,RASHI PERIPHERALS LIMITED,270172.00,870.75,,,
ATHERENERG,ATHER ENERGY LIMITED,948765.00,5188.19,,,
OMINFRAL,OM INFRA LIMITED,451526.00,529.98,,,
MHRIL,MAHINDRA HOLIDAYS LTD,288544.00,1057.41,,,
CPSEETF,CPSE ETF,2809441.00,2608.32,,,
JGCHEM,J.G.CHEMICALS LIMITED,227325.00,1091.78,,,
METROPOLIS,METROPOLIS HEALTHCARE LTD,53645.00,1111.01,,,
IFBIND,IFB INDUSTRIES LTD,264329.00,4223.60,,,
TVSSRICHAK,TVS SRICHAKRA LIMITED,6785.00,241.81,,,
MOLDTKPAC,MOLD TEK PACKAGING LTD,156671.00,1145.86,,,
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,21687.00,452.31,,,
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,372415.00,964.26,,,
PROZONER,PROZONE REALTY LIMITED,329383.00,186.45,,,
PRIVISCL,PRIVI SPECIALITY CHE LTD,439950.00,10350.46,,,
VIKRAN,VIKRAN ENGINEERING LTD,361990.00,348.69,,,
FINIETF,ICICIPRAMC-ICICIFIN,560081.00,168.32,,,
SERVOTECH,SERVOTECH POWER SYS LTD.,547355.00,758.26,,,
DOLATALGO,DOLAT ALGOTECH LIMITED,646569.00,611.00,,,
ORIENTELEC,ORIENT ELECTRIC LIMITED,363655.00,803.97,,,
TARC,TARC LIMITED,1977326.00,3487.09,,,
BIRLANU,BIRLANU LIMITED,42613.00,936.02,,,
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,38376.00,150.04,,,
INDIANHUME,INDIAN HUME PIPE CO. LTD.,88133.00,365.36,,,
AGARIND,AGARWAL INDS CORP LTD.,43006.00,433.85,,,
OAL,ORIENTAL AROMATICS LTD,21731.00,98.89,,,
SHOPERSTOP,SHOPPERS STOP LIMITED,70149.00,410.89,,,
HESTERBIO,HESTER BIOSCIENCES LTD,7796.00,164.38,,,
GREENLAM,GREENLAM INDUSTRIES LTD.,132220.00,339.62,,,
AMRUTANJAN,AMRUTAJAN HEALTH LTD,42526.00,321.78,,,
DIVGIITTS,DIVGI TORQTRANSFER SYST L,12767.00,85.69,,,
VIKASLIFE,VIKAS LIFECARE LIMITED,746462.00,22.28,,,
INDIQUBE,INDIQUBE SPACES LIMITED,191039.00,450.17,,,
SIS,SIS LIMITED,121473.00,445.75,,,
RESPONIND,RESPONSIVE INDUSTRIES LTD,1993400.00,4568.22,,,
MENONBE,MENON BEARINGS LIMITED,18152.00,25.02,,,
HINDCOMPOS,HINDUSTAN COMPOSITES LTD,4159.00,19.54,,,
KUANTUM,KUANTUM PAPERS LIMITED,301393.00,366.95,,,
GHCLTEXTIL,GHCL TEXTILES LIMITED,106950.00,96.36,,,
LYKALABS,LYKA LABS LTD,20875.00,26.64,,,
RUSHIL,RUSHIL DECOR LIMITED,1025118.00,343.45,,,
KOTARISUG,KOTHARI SUG & CHEM LTD.,19669.00,6.85,,,
SHIVAMAUTO,SHIVAM AUTO.LTD,49292.00,16.28,,,
UFO,UFO MOVIEZ INDIA LTD.,89679.00,83.18,,,
KROSS,KROSS LIMITED,903377.00,1942.55,,,
SCODATUBES,SCODA TUBES LIMITED,359851.00,693.17,,,
BALPHARMA,BAL PHARMA LTD.,150.00,0.13,,,
ALPL30IETF,ICICIPRAMC - ICICIALPLV,929337.00,264.28,,,
GUJTHEM,GUJARAT THEMIS BIOSYN LTD,1032069.00,4183.33,,,
MOM30IETF,ICICIPRAMC - ICICIMOM30,3039363.00,982.97,,,
UNIMECH,UNIMECH AEROSPACE N MFG L,26527.00,285.35,,,
VALIANTLAB,VALIANT LABORATORIES LTD,23989.00,24.22,,,
HIRECT,HIND RECTIFIER LIMITED,38714.00,623.62,,,
VALIANTORG,VALIANT ORGANICS LIMITED,3175.00,15.32,,,
MEDICO,MEDICO REMEDIES LIMITED,14207.00,6.19,,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,42203.00,47.17,,,
JPOLYINVST,JIND POL INV & FIN CO LTD,2146.00,18.68,,,
STANLEY,STANLEY LIFESTYLES LTD,79973.00,262.72,,,
DAVANGERE,DAVANGERE SUGAR COMPANY L,7276997.00,289.63,,,
SGFIN,SG FINSERVE LIMITED,36147.00,134.36,,,
INDBANK,INDBANK MERCH BANK,695.00,0.27,,,
NV20IETF,ICICI PRUDENTIAL NV20 ETF,832544.00,121.40,,,
RML,RANE (MADRAS) LIMITED,26672.00,233.81,,,
TOP10ADD,DSPAMC - TOP10ADD,117077.00,112.50,,,
VIDHIING,VIDHI SPCLTY F INGRDNTS L,826928.00,3572.84,,,
OSWALAGRO,OSWAL AGRO MILLS LTD,149491.00,128.65,,,
INVENTURE,INVENTURE GRO & SEC LTD,159162.00,3.21,,,
BORANA,BORANA WEAVES LIMITED,44263.00,99.51,,,
BANARISUG,BANNARI AMMAN SUGARS,280.00,10.60,,,
MOREALTY,MOTILALAMC - MOREALTY,913628.00,836.16,,,
MID150CASE,ZERODHAAMC - MID150CASE,1340113.00,144.29,,,
SENSEXETF,MIRAEAMC - SENSEXETF,5155.00,4.32,,,
TOP100CASE,ZERODHAAMC - TOP100CASE,180314.00,19.19,,,
MOQUALITY,MOTILALAMC - MOQUALITY,1270.00,2.48,,,
FOSECOIND,FOSECO INDIA LTD,4006.00,238.64,,,
BANKBETF,BFAM - BANKBETF,11371.00,6.34,,,
SNXT30BEES,NIPPONAMC - SNXT30BEES,2554.00,1.00,,,
VAL30IETF,ICICIPRAMC - VAL30IETF,5277.00,0.70,,,
BFSI,MIRAEAMC - MAFSETF,1269875.00,343.66,,,
INFRABEES,NIP IND ETF INFRA BEES,37639.00,353.56,,,
EVIETF,ICICIPRAMC - EVIETF,175716.00,56.07,,,
HDFCNIFIT,HDFCAMC - HDFCNIFIT,380496.00,141.84,,,
MIDSELIETF,ICICI PRUD MIDCAP SEL ETF,751929.00,134.67,,,
MAGADSUGAR,MAGADH SUGAR & ENERGY LTD,16950.00,118.37,,,
AYMSYNTEX,AYM SYNTEX LIMITED,14109.00,28.57,,,
MURUDCERA,MURUDESHWAR CERAMICS LTD,6630.00,3.31,,,
ASHOKAMET,ASHOKA METCAST LIMITED,936.00,0.17,,,
BANSWRAS,BANSWARA SYNTEX LIMITED,3608.00,5.89,,,
IVP,IVP LTD,1270.00,2.09,,,
KRISHANA,KRISHANA PHOSCHEM LIMITED,89807.00,465.01,,,
JAYAGROGN,JAYANT AGRO ORGANICS LTD,14650.00,39.80,,,
ICEMAKE,ICE MAKE REFRIGERAT LTD,27347.00,229.06,,,
VHL,VARDHMAN HOLDINGS LIMITED,367.00,17.21,,,
AHLEAST,ASIAN HOTELS (EAST) LTD,962.00,1.48,,,
PRIMO,PRIMO CHEMICALS LIMITED,12645.00,3.51,,,
PILITA,PIL ITALICA LIFESTYLE LTD,70893.00,10.14,,,
AMJLAND,AMJ LAND HOLDINGS LIMITED,200.00,0.12,,,
KOTHARIPET,KOTHARI PETROCHEM LTD,92575.00,154.67,,,
CENTEXT,CENTURY EXTRUSIONS LIMITE,6655.00,1.62,,,
BANKETFADD,DSPAMC - DSPBANKETF,5414.00,3.09,,,
UTINIFTETF,UTIAMC-UTINIFTETF,9529.00,25.86,,,
EGOLD,EDELAMC - EGOLD,64177.00,67.12,,,
BALAJITELE,BALAJI TELEFILMS LIMITED.,53098.00,69.57,,,
AXISCADES,AXISCADES TECH LTD,7242.00,122.92,,,
MOMIDMTM,MOTILALAMC - MOMIDMTM,3666.00,2.26,,,
SILVER360,360ONEAMC - SILVER360,946.00,1.41,,,
AXISNIFTY,AXISAMC - AXISNIFTY,19755.00,53.87,,,
SBIETFPB,SBIAMC - SBIETFPB,991.00,2.67,,,
BANKPSU,MIRAEAMC - BANKPSU,13139.00,9.54,,,
RISHABH,RISHABH INSTRUMENTS LTD,38702.00,162.21,,,
GUJAPOLLO,GUJ. APOLLO IND. LTD.,1115.00,5.60,,,
STEL,STEL HOLDINGS LIMITED,400.00,1.99,,,
JUBLCPL,JUBILANT AGRI N CON PRO L,71.00,1.94,,,
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,618.00,1.66,,,
ELDEHSG,ELDECO HSG & IND LTD.,338.00,2.69,,,
ATALREAL,ATAL REALTECH LIMITED,1412604.00,307.14,,,
PODDARMENT,PODDAR PIGMENTS LIMITED,261.00,0.79,,,
JINDALPHOT,JINDAL PHOTO LIMITED,520.00,6.05,,,
GOKUL,GOKUL REFOILS AND SOLVENT,9788.00,4.17,,,
MEGASOFT,MEGASOFT LTD,850.00,1.34,,,
TRU,TRUCAP FINANCE LIMITED,7914.00,1.21,,,
LIQUIDBETF,BFAM - LIQUIDBETF,30.00,0.31,,,
AARTISURF,AARTI SURFACTANTS LIMITED,1207.00,6.03,,,
LIQUID1,KOTAKMAMC - KOTAKLIQ,62.00,0.66,,,
SHANKARA,SHANKARA BLDG PRODUCT LTD,1834.00,4.98,,,
RHFL,RELIANCE HOME FINANCE LTD,10000.00,0.56,,,
SUNDARAM,SUNDARAM MULTI PAP LTD,33772.00,0.72,,,
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11.00,0.11,,,
ABINFRA,A B INFRABUILD LIMITED,220.00,0.44,,,
INTENTECH,INTENSE TECHNOLOGIES LTD,500.00,0.67,,,
BTML,BODHI TREE MULTIMEDIA LTD,1000.00,0.09,,,
MEIL,MANGAL ELECTRICAL IND L,10670.00,50.70,,,
TATATECH,TATA TECHNOLOGIES LIMITED,3682914.00,28409.84,,,
RAJESHEXPO,RAJESH EXPORTS LTD,1819722.00,4013.14,,,
CANBK,CANARA BANK,23941510.00,25885.34,,,
HFCL,HFCL LIMITED,40534998.00,36789.26,,,
PNB,PUNJAB NATIONAL BANK,31836796.00,34214.02,,,
IREDA,INDIAN RENEWABLE ENERGY,24546702.00,41150.91,,,
PFC,POWER FIN CORP LTD.,13925682.00,58737.88,,,
BEML,BEML LIMITED,832167.00,36115.37,,,
NUVAMA,NUVAMA WEALTH MANAGE LTD,196510.00,13466.13,,,
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,260718.00,3990.40,,,
MGL,MAHANAGAR GAS LTD.,682480.00,9658.55,,,
NLCINDIA,NLC INDIA LIMITED,4716433.00,11568.63,,,
SUZLON,SUZLON ENERGY LIMITED,138935866.00,85358.22,,,
REDINGTON,REDINGTON LIMITED,3594753.00,10352.02,,,
KPITTECH,KPIT TECHNOLOGIES LIMITED,1752605.00,23144.27,,,
AADHARHFC,AADHAR HOUSING FINANCE L,1007165.00,5136.62,,,
KAJARIACER,KAJARIA CERAMICS LTD,525393.00,6112.15,,,
QUADFUTURE,QUADRANT FUTURE TEK LTD,544961.00,2465.38,,,
SILVERBEES,NIPPONAMC - NETFSILVER,17245713.00,21053.99,,,
DHANI,DHANI SERVICES LIMITED,5713989.00,3783.04,,,
SBIN,BOND 9.75% PA RET. S3,5231713.00,42149.44,,,
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,22171001.00,26836.90,,,
CASTROLIND,CASTROL INDIA LIMITED,7672997.00,16761.01,,,
AWL,AWL AGRI BUSINESS LIMITED,4711488.00,13092.64,,,
CELLO,CELLO WORLD LIMITED,584481.00,3623.98,,,
RELIANCE,RELIANCE INDUSTRIES LTD,9552431.00,133356.23,,,
SKIPPER,SKIPPER LIMITED,1056691.00,5572.40,,,
EMIL,ELECTRONICS MART IND LTD,2930220.00,4443.57,,,
GICRE,GENERAL INS CORP OF INDIA,2846590.00,11326.30,,,
LTTS,L&T TECHNOLOGY SER. LTD.,248493.00,11033.44,,,
CROMPTON,CROMPT GREA CON ELEC LTD,5477473.00,18033.55,,,
DCW,DCW LIMITED,4375068.00,3420.22,,,
DLF,DLF LIMITED,4724343.00,37213.21,,,
ERIS,ERIS LIFESCIENCES LIMITED,90881.00,1523.50,,,
DCXINDIA,DCX SYSTEMS LIMITED,2598075.00,7455.26,,,
ABB,ABB INDIA LIMITED,460803.00,26668.54,,,
KEC,KEC INTL. LIMITED,1246665.00,11058.21,,,
SAMMAANCAP,SAMMAAN CAPITAL LIMITED,43747536.00,63302.07,,,
GLOBUSSPR,GLOBUS SPIRITS LTD,219445.00,2468.25,,,
NAVINFLUOR,NAVIN FLUORINE INT. LTD,95648.00,4442.05,,,
NBCC,NBCC (INDIA) LIMITED,21526731.00,24053.32,,,
RPOWER,RELIANCE POWER LTD.,5519128.00,2496.74,,,
BALKRISIND,BALKRISHNA IND. LTD,148619.00,3784.73,,,
SOBHA,SOBHA LIMITED,273853.00,4328.93,,,
BIKAJI,BIKAJI FOODS INTERN LTD,498017.00,3893.79,,,
CHOICEIN,CHOICE INTERNATIONAL LTD,1589447.00,12094.51,,,
THOMASCOOK,CLASSB 0.001% CCR PREF.SH,2923173.00,5004.72,,,
ADANIPOWER,ADANI POWER LTD,24371456.00,34716.60,,,
JKTYRE,JK TYRE & INDUSTRIES LTD,1500245.00,5640.73,,,
MOL,MEGHMANI ORGANICS LIMITED,5545161.00,4950.21,,,
PAYTM,ONE 97 COMMUNICATIONS LTD,1582854.00,15704.70,,,
BIOCON,BIOCON LIMITED.,3295499.00,12189.50,,,
VPRPL,VISHNU PRAKASH R PUNGLI L,3303529.00,4684.24,,,
SHARDACROP,SHARDA CROPCHEM LTD.,283133.00,2522.52,,,
POLYCAB,POLYCAB INDIA LIMITED,161740.00,10412.15,,,
MUTHOOTMF,MUTHOOT MICROFIN LIMITED,638101.00,1013.58,,,
SUNPHARMA,SUN PHARMACEUTICAL IND L,596236.00,9991.67,,,
SAPPHIRE,SAPPHIRE FOODS INDIA LTD,1794609.00,5780.17,,,
BLS,BLS INTL SERVS LTD,7114802.00,27127.50,,,
TORNTPOWER,TORRENT POWER LTD,875078.00,11804.75,,,
UNIECOM,UNICOMMERCE ESOLUTIONS L,1074327.00,1586.80,,,
SHYAMMETL,SHYAM METALICS AND ENGY L,1042589.00,8911.49,,,
RATEGAIN,RATEGAIN TRAVEL TECHN LTD,2344659.00,13257.87,,,
CANTABIL,CANTABIL RETAIL LTD,1153318.00,3081.66,,,
JASH,JASH ENGINEERING LIMITED,275493.00,1524.57,,,
DEEPINDS,DEEP INDUSTRIES LIMITED,538255.00,2692.73,,,
AVANTEL,AVANTEL LIMITED,4765590.00,8318.07,,,
IONEXCHANG,ION EXCHANGE (INDIA) LTD,813791.00,4174.89,,,
INDIANB,INDIAN BANK,469365.00,3034.97,,,
SALASAR,SALASAR TECHNO ENGG. LTD.,13537042.00,1414.45,,,
DIAMONDYD,PRATAAP SNACKS LIMITED,826924.00,8486.51,,,
KRBL,KRBL LIMITED,1559827.00,6041.19,,,
ARKADE,ARKADE DEVELOPERS LIMITED,2826623.00,5128.22,,,
HEIDELBERG,HEIDELBERGCEMENT (I) LTD,844956.00,1812.88,,,
ADSL,ALLIED DIGITAL SERVICES L,346974.00,687.61,,,
ITI,ITI LTD,630467.00,2055.02,,,
UNIVCABLES,UNIVCABLES NPP130599 DEPO,245525.00,1614.48,,,
GIPCL,GIPCL - NPP(220399) DEPO,2214689.00,4551.08,,,
PREMIERENE,PREMIER ENERGIES LIMITED,3107592.00,32639.30,,,
CEIGALL,CEIGALL INDIA LIMITED,626576.00,1728.81,,,
GANESHHOU,GANESH HOUSING LIMITED,453326.00,4344.99,,,
JYOTICNC,JYOTI CNC AUTOMATION LTD,841319.00,8836.87,,,
CLSEL,CHAMAN LAL SETIA EXP LTD,225434.00,700.66,,,
LIKHITHA,LIKHITHA INFRASTRUC LTD,226466.00,690.30,,,
PTCIL,PTC INDUSTRIES LIMITED,32775.00,4825.73,,,
ACMESOLAR,ACME SOLAR HOLDINGS LTD,1851339.00,5492.01,,,
SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,222677.00,2682.50,,,
CSBBANK,CSB BANK LIMITED,860381.00,3243.88,,,
MASFIN,MAS FINANCIAL SERV LTD,286707.00,867.72,,,
GARUDA,GARUDA CONSTRUCT N ENG L,681558.00,1317.04,,,
HOMEFIRST,HOME FIRST FIN CO IND LTD,279972.00,3536.89,,,
MANGLMCEM,MANGLMCEM,889068.00,6823.38,,,
QUICKHEAL,QUICK HEAL TECH LTD,630188.00,2259.66,,,
UBL,UNITED BREWERIES LTD,198876.00,3825.15,,,
AIIL,AUTHUM INVEST & INFRA LTD,80491.00,2297.50,,,
PSUBNKIETF,ICICIPRAMC - PSUBANKICI,384028.00,279.43,,,
RUPA,RUPA & COMPANY LTD,505932.00,1135.50,,,
DEN,DEN NETWORKS LTD,3152694.00,1270.58,,,
AJAXENGG,AJAX ENGINEERING LIMITED,138296.00,924.41,,,
PLATIND,PLATINUM INDUSTRIES LTD,504629.00,1567.26,,,
RUCHIRA,RUCHIRA PAPERS LIMITED,124371.00,192.10,,,
HONASA,HONASA CONSUMER LIMITED,465093.00,1348.09,,,
ARIES,ARIES AGRO LIMITED,106018.00,422.36,,,
NEXT50IETF,ICICIPRAMC - ICICINXT50,915317.00,662.93,,,
MASTERTR,MASTER TRUST LIMITED,875578.00,1302.57,,,
VESUVIUS,VESUVIUS INDIA LTD,221345.00,1204.59,,,
HDFCGOLD,HDFC GOLD ETF,1664259.00,1522.04,,,
PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,98652.00,127.77,,,
CARERATING,CARE RATINGS LIMITED,148115.00,2651.28,,,
PGHH,P&G HYGIENE & HEALTH CARE,5644.00,786.20,,,
PRUDENT,PRUDENT CORP ADV SER LTD,27664.00,741.64,,,
SHK,S H KELKAR AND CO. LTD.,625907.00,1557.22,,,
SAMBHV,SAMBHV STEEL TUBES LTD,1690284.00,2012.74,,,
ADFFOODS,ADF FOODS LIMITED,736857.00,1939.48,,,
UNIPARTS,UNIPARTS INDIA LIMITED,155695.00,637.51,,,
GNA,GNA AXLES LIMITED,161821.00,562.83,,,
GTPL,GTPL HATHWAY LIMITED,36429.00,47.50,,,
